ID,NAME,TYPE,AMOUNT,CURRENCY,DATE,DESCRIPTION,NOTES,BUDGET,BUDGET_TYPE,CATEGORY
1022,Groceries,expense,300.00,GBP,"2026-07-29 12:26:14",,,Household,household,Groceries
2,"Shop 2",expense,24.95,GBP,"2026-07-29 11:43:00",,,"Food and Drink",household,Beef
1,"test shop",expense,18.47,GBP,"2026-07-29 11:35:00",,,"Food and Drink",household,Beef
1136,Food,expense,65.00,GBP,"2026-07-29 11:31:36",,,Household,household,Food
1322,Music,expense,10.00,GBP,"2026-07-29 05:52:35",,,James,personal,Music
1446,Vet/medical,expense,25.00,GBP,"2026-07-29 03:37:39",,,James,personal,Vet/medical
1296,"Barcleycard CC",expense,120.00,GBP,"2026-07-28 17:18:34",,,James,personal,"Credit Cards"
1030,"Laundry/dry cleaning",expense,15.00,GBP,"2026-07-28 14:33:53",,,Household,household,"Laundry/dry cleaning"
1290,"Barcleycard CC",expense,120.00,GBP,"2026-07-28 13:48:01",,,James,personal,"Credit Cards"
1537,Coal,expense,60.00,GBP,"2026-07-28 10:16:27",,,James,personal,Coal
1078,Rent/mortgage,expense,426.94,GBP,"2026-07-28 08:06:54",,,Household,household,Rent/mortgage
1205,TV,expense,13.37,GBP,"2026-07-28 06:28:54",,,Household,household,TV
1297,"Barcleycard CC",expense,120.00,GBP,"2026-07-28 03:44:48",,,James,personal,"Credit Cards"
1039,Cleaning,expense,10.00,GBP,"2026-07-27 22:25:07",,,Household,household,Cleaning
1224,Electricity,expense,50.00,GBP,"2026-07-27 21:29:45",,,Household,household,Electricity
1095,"Council Tax",expense,118.00,GBP,"2026-07-27 19:03:01",,,Household,household,"Council Tax"
1306,"Zopa Personal Loan",expense,120.00,GBP,"2026-07-27 17:48:20",,,James,personal,Loans
1430,Food,expense,45.00,GBP,"2026-07-27 14:07:27",,,James,personal,Food
1353,"Personal supplies",expense,160.00,GBP,"2026-07-27 06:14:17",,,James,personal,"Personal supplies"
1261,Coal,expense,65.00,GBP,"2026-07-26 20:37:35",,,Household,household,Coal
1469,TV,expense,13.00,GBP,"2026-07-26 20:10:56",,,James,personal,TV
1418,"Council Tax",expense,90.00,GBP,"2026-07-26 18:06:30",,,James,personal,"Council Tax"
1508,Gas,expense,40.00,GBP,"2026-07-26 16:18:14",,,James,personal,Gas
1089,"Council Tax",expense,118.00,GBP,"2026-07-26 15:16:43",,,Household,household,"Council Tax"
1332,Music,expense,10.00,GBP,"2026-07-26 10:15:31",,,James,personal,Music
1269,"CapitalOne  CC",expense,120.00,GBP,"2026-07-26 07:33:36",,,James,personal,"Credit Cards"
1033,"Laundry/dry cleaning",expense,15.00,GBP,"2026-07-26 05:36:52",,,Household,household,"Laundry/dry cleaning"
1184,Phone,expense,7.00,GBP,"2026-07-26 04:47:58",,,Household,household,Phone
1214,Internet,expense,28.00,GBP,"2026-07-26 04:21:04",,,Household,household,Internet
1087,"Council Tax",expense,118.00,GBP,"2026-07-25 23:35:30",,,Household,household,"Council Tax"
1327,Music,expense,10.00,GBP,"2026-07-25 22:09:29",,,James,personal,Music
1287,"Barcleycard CC",expense,120.00,GBP,"2026-07-25 06:57:24",,,James,personal,"Credit Cards"
1336,Groceries,expense,320.00,GBP,"2026-07-25 02:13:48",,,James,personal,Groceries
1468,TV,expense,13.00,GBP,"2026-07-25 01:53:54",,,James,personal,TV
1423,"Council Tax",expense,90.00,GBP,"2026-07-25 00:21:57",,,James,personal,"Council Tax"
1535,Coal,expense,60.00,GBP,"2026-07-25 00:12:28",,,James,personal,Coal
1288,"Barcleycard CC",expense,120.00,GBP,"2026-07-24 19:17:06",,,James,personal,"Credit Cards"
1032,"Laundry/dry cleaning",expense,15.00,GBP,"2026-07-24 17:56:46",,,Household,household,"Laundry/dry cleaning"
1121,Pet,expense,67.74,GBP,"2026-07-24 13:33:00",,,Household,household,Pet
1146,Vet/medical,expense,25.00,GBP,"2026-07-24 09:05:52",,,Household,household,Vet/medical
1521,Water,expense,20.00,GBP,"2026-07-24 08:33:56",,,James,personal,Water
1331,Music,expense,10.00,GBP,"2026-07-24 08:23:10",,,James,personal,Music
1219,Electricity,expense,50.00,GBP,"2026-07-24 02:37:53",,,Household,household,Electricity
1505,Gas,expense,40.00,GBP,"2026-07-24 01:30:08",,,James,personal,Gas
1193,Phone,expense,7.00,GBP,"2026-07-23 22:53:01",,,Household,household,Phone
1258,Coal,expense,65.00,GBP,"2026-07-23 19:56:06",,,Household,household,Coal
1044,Cleaning,expense,10.00,GBP,"2026-07-23 19:10:59",,,Household,household,Cleaning
1124,Pet,expense,67.74,GBP,"2026-07-23 13:27:41",,,Household,household,Pet
1481,Internet,expense,35.00,GBP,"2026-07-23 07:39:34",,,James,personal,Internet
1004,"Household Card",expense,40.00,GBP,"2026-07-23 01:41:20",,,Household,household,"Household Card"
1132,Food,expense,65.00,GBP,"2026-07-23 00:27:32",,,Household,household,Food
1174,Fuel,expense,90.00,GBP,"2026-07-22 18:40:57",,,Household,household,Fuel
1056,Subscriptions,expense,10.00,GBP,"2026-07-22 13:49:43",,,Household,household,Subscriptions
1135,Food,expense,65.00,GBP,"2026-07-22 10:04:31",,,Household,household,Food
1407,Rent/mortgage,expense,440.00,GBP,"2026-07-22 03:45:22",,,James,personal,Rent/mortgage
1120,Pet,expense,67.74,GBP,"2026-07-21 22:46:44",,,Household,household,Pet
1240,Gas,expense,40.00,GBP,"2026-07-21 18:33:20",,,Household,household,Gas
1394,"Work Lunch",expense,100.00,GBP,"2026-07-21 16:50:56",,,James,personal,"Work Lunch"
1272,"CapitalOne  CC",expense,120.00,GBP,"2026-07-21 05:21:30",,,James,personal,"Credit Cards"
1102,Maintenance,expense,10.00,GBP,"2026-07-21 03:53:09",,,Household,household,Maintenance
1307,"Zopa Personal Loan",expense,120.00,GBP,"2026-07-21 01:47:37",,,James,personal,Loans
1429,"Council Tax",expense,90.00,GBP,"2026-07-20 23:11:34",,,James,personal,"Council Tax"
1340,Groceries,expense,320.00,GBP,"2026-07-20 20:21:25",,,James,personal,Groceries
1045,Cleaning,expense,10.00,GBP,"2026-07-20 17:22:10",,,Household,household,Cleaning
1198,TV,expense,13.37,GBP,"2026-07-20 15:10:27",,,Household,household,TV
1156,"Online services",expense,10.00,GBP,"2026-07-20 11:38:09",,,Household,household,"Online services"
1400,"Work Lunch",expense,100.00,GBP,"2026-07-20 11:16:42",,,James,personal,"Work Lunch"
1079,Rent/mortgage,expense,426.94,GBP,"2026-07-20 04:02:28",,,Household,household,Rent/mortgage
1531,Coal,expense,60.00,GBP,"2026-07-19 21:24:28",,,James,personal,Coal
1351,"Personal supplies",expense,160.00,GBP,"2026-07-19 13:01:06",,,James,personal,"Personal supplies"
1527,Coal,expense,60.00,GBP,"2026-07-19 12:20:42",,,James,personal,Coal
1280,"VirginMoney  CC",expense,120.00,GBP,"2026-07-19 09:59:16",,,James,personal,"Credit Cards"
1277,"VirginMoney  CC",expense,120.00,GBP,"2026-07-19 04:51:46",,,James,personal,"Credit Cards"
1164,"Online services",expense,10.00,GBP,"2026-07-19 03:48:50",,,Household,household,"Online services"
1070,"Vitamins & Minireals",expense,5.00,GBP,"2026-07-19 02:36:33",,,Household,household,"Vitamins & Minireals"
1083,Rent/mortgage,expense,426.94,GBP,"2026-07-19 00:46:23",,,Household,household,Rent/mortgage
1330,Music,expense,10.00,GBP,"2026-07-18 20:51:12",,,James,personal,Music
1090,"Council Tax",expense,118.00,GBP,"2026-07-18 13:34:33",,,Household,household,"Council Tax"
1168,Fuel,expense,90.00,GBP,"2026-07-18 03:21:20",,,Household,household,Fuel
1473,TV,expense,13.00,GBP,"2026-07-17 15:37:07",,,James,personal,TV
1403,"Work Lunch",expense,100.00,GBP,"2026-07-17 15:13:25",,,James,personal,"Work Lunch"
1433,Food,expense,45.00,GBP,"2026-07-17 14:38:37",,,James,personal,Food
1096,Maintenance,expense,10.00,GBP,"2026-07-17 14:13:41",,,Household,household,Maintenance
1231,Gas,expense,40.00,GBP,"2026-07-17 13:00:11",,,Household,household,Gas
1189,Phone,expense,7.00,GBP,"2026-07-17 12:21:39",,,Household,household,Phone
1526,Coal,expense,60.00,GBP,"2026-07-17 08:52:34",,,James,personal,Coal
1383,Hair/beauty,expense,20.00,GBP,"2026-07-17 03:09:28",,,James,personal,Hair/beauty
1027,"Laundry/dry cleaning",expense,15.00,GBP,"2026-07-16 21:01:34",,,Household,household,"Laundry/dry cleaning"
1451,Vet/medical,expense,25.00,GBP,"2026-07-16 20:21:34",,,James,personal,Vet/medical
1392,Hair/beauty,expense,20.00,GBP,"2026-07-16 19:37:37",,,James,personal,Hair/beauty
